name,cap_hit_percentage_at_signing,signing_date,age_at_signing,is_ufa,expires_as_ufa,is_center,is_winger,is_defenseman,prev_1_goals,prev_2_goals,prev_3_goals,prev_1_assists,prev_2_assists,prev_3_assists,prev_1_xgf,prev_2_xgf,prev_3_xgf,prev_1_corsi,prev_2_corsi,prev_3_corsi,prev_1_sh,prev_2_sh,prev_3_sh
Darnell Nurse,0.0403,2018-09-17,24.0,0,0,0,0,1,6.0,5.0,3.0,20.0,6.0,7.0,0.47,0.48,0.39,0.48,0.48,0.42,0.0309,0.0309,0.0309
Darren Helm,0.0527,2016-07-01,30.0,1,1,1,1,0,13.0,15.0,12.0,13.0,18.0,8.0,0.44,0.55,0.5,0.49,0.57,0.49,0.0788,0.0788,0.0788
Darren Helm,0.0354,2012-07-19,26.0,0,1,1,1,0,9.0,12.0,11.0,17.0,20.0,13.0,0.44,0.43,0.43,0.49,0.46,0.45,0.0726,0.0726,0.0726
David Backes,0.08220000000000001,2016-07-01,33.0,1,1,1,1,0,21.0,26.0,27.0,24.0,32.0,30.0,0.51,0.54,0.56,0.52,0.52,0.57,0.125,0.125,0.125
David Krejci,0.1051,2014-09-07,29.0,1,1,1,0,0,19.0,10.0,23.0,50.0,23.0,39.0,0.6,0.57,0.56,0.57,0.59,0.57,0.1124,0.1124,0.1124
David Krejci,0.0816,2011-12-01,26.0,0,1,1,0,0,13.0,17.0,22.0,49.0,35.0,51.0,0.54,0.56,0.53,0.56,0.56,0.53,0.0828,0.0828,0.0828
David Kämpf,0.0123,2019-07-01,25.0,0,0,1,1,0,4.0,4.0,0.0,15.0,7.0,0.0,0.39,0.39,0.0,0.42,0.47,0.0,0.0556,0.0556,0.0556
David Pastrnak,0.0889,2017-09-14,22.0,0,1,0,1,0,34.0,15.0,10.0,36.0,11.0,17.0,0.67,0.47,0.58,0.63,0.53,0.59,0.1298,0.1298,0.1298
David Perron,0.050300000000000004,2018-07-01,31.0,1,1,0,1,0,16.0,18.0,12.0,50.0,28.0,24.0,0.55,0.55,0.61,0.54,0.53,0.57,0.127,0.127,0.127
David Perron,0.051399999999999994,2016-07-01,29.0,1,1,0,1,0,12.0,17.0,28.0,24.0,24.0,29.0,0.61,0.56,0.52,0.57,0.6,0.52,0.0816,0.0816,0.0816
David Perron,0.0635,2012-07-05,25.0,0,1,0,1,0,21.0,5.0,20.0,21.0,2.0,27.0,0.61,0.68,0.56,0.57,0.63,0.58,0.1842,0.1842,0.1842
David Savard,0.059500000000000004,2015-09-08,25.0,0,1,0,0,1,11.0,5.0,0.0,25.0,10.0,0.0,0.47,0.47,0.57,0.46,0.46,0.37,0.0982,0.0982,0.0982
David Savard,0.018799999999999997,2014-07-05,24.0,0,0,0,0,1,5.0,0.0,2.0,10.0,0.0,8.0,0.47,0.57,0.57,0.46,0.37,0.55,0.0794,0.0794,0.0794
David Savard,0.011000000000000001,2013-07-17,23.0,0,0,0,0,1,0.0,2.0,0.0,0.0,8.0,0.0,0.57,0.57,0.0,0.37,0.55,0.0,0.0,0.0,0.0
Dean Kukan,0.0202,2020-02-07,26.0,0,1,0,0,1,1.0,0.0,0.0,4.0,5.0,4.0,0.54,0.57,0.61,0.53,0.53,0.56,0.0196,0.0196,0.0196
Dean Kukan,0.0097,2018-03-14,24.0,0,0,0,0,1,0.0,0.0,0.0,4.0,0.0,0.0,0.61,0.0,0.56,0.56,0.0,0.5,0.0,0.0,0.0
Dean Kukan,0.0096,2017-06-09,23.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.5,0.0,0.0,0.0,0.0
